000	01	0001 0000	0	01	0001 0000
001	01	0001 0000	1	01	0001 0000
001	01	0001 0000	0	01	0001 0000
010	01	0001 0000	1	01	0001 0000
010	01	0001 0000	0	01	0001 0000
011	01	0001 0000	1	01	0001 0000
011	01	0001 0000	0	01	0001 0000
100	01	0001 0000	1	01	0001 0000
100	01	0001 0000	0	01	0001 0000
101	01	0001 0000	1	01	0001 0000
101	01	0001 0000	0	01	0001 0000
110	01	0001 0000	1	01	0001 0000
110	01	0001 0000	0	01	0001 0000
111	01	0001 0000	1	01	0001 0000
111	01	0001 0000	0	01	0001 0000
000	00	1111 1111	1	00	0001 0000
000	00	1111 1111	0	00	0001 0000
001	00	1111 1111	1	00	0001 0000
001	00	1111 1111	0	00	0001 0000
010	00	1111 1111	1	00	0001 0000
010	00	1111 1111	0	00	0001 0000
011	00	1111 1111	1	00	0001 0000
011	00	1111 1111	0	00	0001 0000
100	00	1111 1111	1	00	0001 0000
100	00	1111 1111	0	00	0001 0000
101	00	1111 1111	1	00	0001 0000
101	00	1111 1111	0	00	0001 0000
110	00	1111 1111	1	00	0001 0000
110	00	1111 1111	0	00	0001 0000
111	00	1111 1111	1	00	0001 0000
111	00	1111 1111	0	00	0001 0000
000	10	0010 0000	1	11	0001 0000
000	10	0010 0000	0	11	0001 0000
001	10	0010 0000	1	11	0001 0000
001	10	0010 0000	0	11	0001 0000
010	10	0010 0000	1	11	0001 0000
010	10	0010 0000	0	11	0001 0000
011	10	0010 0000	1	11	0001 0000
011	10	0010 0000	0	11	0001 0000
100	10	0010 0000	1	11	0001 0000
100	10	0010 0000	0	11	0001 0000
101	10	0010 0000	1	11	0001 0000
101	10	0010 0000	0	11	0001 0000
110	10	0010 0000	1	11	0001 0000
110	10	0010 0000	0	11	0001 0000
111	10	0010 0000	1	11	0001 0000
111	10	0010 0000	0	11	0001 0000
000	01	1111 1111	1	10	0001 0000
000	01	1111 1111	0	10	0001 0000
001	01	1111 1111	1	10	0001 0000
001	01	1111 1111	0	10	0001 0000
010	01	1111 1111	1	10	0001 0000
010	01	1111 1111	0	10	0001 0000
011	01	1111 1111	1	10	0001 0000
011	01	1111 1111	0	10	0001 0000
100	01	1111 1111	1	10	0001 0000
100	01	1111 1111	0	10	0001 0000
101	01	1111 1111	1	10	0001 0000
101	01	1111 1111	0	10	0001 0000
110	01	1111 1111	1	10	0001 0000
110	01	1111 1111	0	10	0001 0000
111	01	1111 1111	1	10	0001 0000
111	01	1111 1111	0	10	0001 0000
000	01	0001 0000	1	01	0010 0000
000	01	0001 0000	0	01	0010 0000
001	01	0001 0000	1	01	0010 0000
001	01	0001 0000	0	01	0010 0000
010	01	0001 0000	1	01	0010 0000
010	01	0001 0000	0	01	0010 0000
011	01	0001 0000	1	01	0010 0000
011	01	0001 0000	0	01	0010 0000
100	01	0001 0000	1	01	0010 0000
100	01	0001 0000	0	01	0010 0000
101	01	0001 0000	1	01	0010 0000
101	01	0001 0000	0	01	0010 0000
110	01	0001 0000	1	01	0010 0000
110	01	0001 0000	0	01	0010 0000
111	01	0001 0000	1	01	0010 0000
111	01	0001 0000	0	01	0010 0000
000	00	1111 1111	1	00	0010 0000
000	00	1111 1111	0	00	0010 0000
001	00	1111 1111	1	00	0010 0000
001	00	1111 1111	0	00	0010 0000
010	00	1111 1111	1	00	0010 0000
010	00	1111 1111	0	00	0010 0000
011	00	1111 1111	1	00	0010 0000
011	00	1111 1111	0	00	0010 0000
100	00	1111 1111	1	00	0010 0000
100	00	1111 1111	0	00	0010 0000
101	00	1111 1111	1	00	0010 0000
101	00	1111 1111	0	00	0010 0000
110	00	1111 1111	1	00	0010 0000
110	00	1111 1111	0	00	0010 0000
111	00	1111 1111	1	00	0010 0000
111	00	1111 1111	0	00	0010 0000
000	10	0010 0000	1	01	0000 0000
000	10	0010 0000	0	01	0000 0000
001	10	0010 0000	1	01	0000 0000
001	10	0010 0000	0	01	0000 0000
010	10	0010 0000	1	01	0000 0000
010	10	0010 0000	0	01	0000 0000
011	10	0010 0000	1	01	0000 0000
011	10	0010 0000	0	01	0000 0000
100	10	0010 0000	1	01	0000 0000
100	10	0010 0000	0	01	0000 0000
101	10	0010 0000	1	01	0000 0000
101	10	0010 0000	0	01	0000 0000
110	10	0010 0000	1	01	0000 0000
110	10	0010 0000	0	01	0000 0000
111	10	0010 0000	1	01	0000 0000
111	10	0010 0000	0	01	0000 0000
000	00	1111 1111	1	00	0000 0000
000	00	1111 1111	0	00	0000 0000
001	00	1111 1111	1	00	0000 0000
001	00	1111 1111	0	00	0000 0000
010	00	1111 1111	1	00	0000 0000
010	00	1111 1111	0	00	0000 0000
011	00	1111 1111	1	00	0000 0000
011	00	1111 1111	0	00	0000 0000
100	00	1111 1111	1	00	0000 0000
100	00	1111 1111	0	00	0000 0000
101	00	1111 1111	1	00	0000 0000
101	00	1111 1111	0	00	0000 0000
110	00	1111 1111	1	00	0000 0000
110	00	1111 1111	0	00	0000 0000
111	00	1111 1111	1	00	0000 0000
111	00	1111 1111	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
000	00	0000 0000	0	00	0000 0000
000	00	0000 0000	1	00	0000 0000
